"pa","lon","lat"
"0",-39.379166666178,-11.7541666669447
"0",-39.0624999994898,-11.7541666669447
"0",-38.5208333327862,-11.7541666669447
"0",-41.3791666663143,-11.7625000002777
"0",-39.7624999995375,-11.7625000002777
"0",-39.7124999995341,-11.7625000002777
"0",-39.3708333328441,-11.7625000002777
"0",-38.6374999994608,-11.7625000002777
"0",-41.3958333329821,-11.7708333336106
"0",-40.9041666662819,-11.7708333336106
"0",-40.0958333328935,-11.7708333336106
"0",-39.6874999995324,-11.7708333336106
"0",-39.1208333328271,-11.7708333336106
"0",-38.620833332793,-11.7708333336106
"0",-41.4791666663211,-11.7791666669436
"0",-40.1624999995647,-11.7791666669436
"0",-39.5624999995239,-11.7791666669436
"0",-39.4041666661797,-11.7791666669436
"0",-39.3458333328424,-11.7791666669436
"0",-39.3291666661746,-11.7791666669436
"0",-39.1541666661627,-11.7791666669436
"0",-39.0041666661525,-11.7791666669436
"0",-41.2791666663075,-11.7875000002766
"0",-41.0874999996278,-11.7875000002766
"0",-40.9124999996158,-11.7875000002766
"0",-40.5208333329225,-11.7875000002766
"0",-40.4708333329191,-11.7875000002766
"0",-40.1124999995613,-11.7875000002766
"0",-39.8624999995443,-11.7875000002766
"0",-40.0374999995562,-11.7958333336095
"0",-39.1708333328305,-11.7958333336095
"0",-38.879166666144,-11.7958333336095
"0",-38.8708333328101,-11.7958333336095
"0",-38.5458333327879,-11.8041666669425
"0",-38.537499999454,-11.8041666669425
"0",-41.5541666663262,-11.8125000002755
"0",-40.5374999995903,-11.8125000002755
"0",-38.6874999994642,-11.8125000002755
"0",-38.5791666661235,-11.8125000002755
"0",-41.4791666663211,-11.8208333336084
"0",-40.1791666662325,-11.8208333336084
"0",-39.4291666661814,-11.8208333336084
"0",-38.8874999994779,-11.8208333336084
"0",-38.8208333328066,-11.8208333336084
"0",-38.5458333327879,-11.8208333336084
"0",-40.7874999996073,-11.8291666669414
"0",-40.4958333329208,-11.8291666669414
"0",-40.3874999995801,-11.8291666669414
"0",-39.379166666178,-11.8291666669414
"0",-41.1624999996329,-11.8375000002744
"0",-40.8624999996124,-11.8375000002744
"0",-40.5208333329225,-11.8375000002744
"0",-38.7791666661371,-11.8375000002744
"0",-40.8791666662802,-11.8458333336073
"0",-40.4708333329191,-11.8458333336073
"0",-40.395833332914,-11.8458333336073
"0",-39.7958333328731,-11.8458333336073
"0",-39.6958333328663,-11.8458333336073
"0",-39.5708333328578,-11.8458333336073
"0",-39.8708333328782,-11.8541666669403
"0",-39.5208333328543,-11.8541666669403
"0",-38.5124999994523,-11.8541666669403
"0",-41.0208333329566,-11.8625000002733
"0",-40.895833332948,-11.8625000002733
"0",-40.2624999995716,-11.8625000002733
"0",-39.4041666661797,-11.8625000002733
"0",-41.0458333329583,-11.8708333336062
"0",-40.8208333329429,-11.8708333336062
"0",-40.7458333329378,-11.8708333336062
"0",-40.2708333329055,-11.8708333336062
"0",-40.0458333328901,-11.8708333336062
"0",-39.9458333328833,-11.8708333336062
"0",-41.1958333329685,-11.8791666669392
"0",-40.2624999995716,-11.8791666669392
"0",-40.8791666662802,-11.8875000002722
"0",-40.0458333328901,-11.8875000002722
"0",-39.1624999994966,-11.8875000002722
"0",-41.5041666663228,-11.8958333336051
"0",-41.0624999996261,-11.8958333336051
"0",-40.8041666662751,-11.8958333336051
"0",-40.3541666662445,-11.8958333336051
"0",-40.1041666662274,-11.8958333336051
"0",-38.6958333327981,-11.8958333336051
"0",-41.2124999996363,-11.9041666669381
"0",-40.562499999592,-11.9041666669381
"0",-40.4041666662479,-11.9041666669381
"0",-39.7874999995392,-11.9041666669381
"0",-38.8291666661405,-11.9041666669381
"0",-41.3374999996448,-11.9125000002711
"0",-40.6791666662666,-11.9125000002711
"0",-40.2291666662359,-11.9125000002711
"0",-39.8541666662104,-11.9125000002711
"0",-39.4041666661797,-11.9125000002711
"0",-41.0041666662888,-11.9208333336041
"0",-40.4874999995869,-11.9208333336041
"0",-40.3374999995767,-11.9208333336041
"0",-39.9458333328833,-11.9208333336041
"0",-41.5124999996567,-11.929166666937
