"species","year","base","longitude","latitude","state"
"Bradypus crinitus",2014,"Dataset - Neotropical Xenarthrans","-42.38765","-22.60099","Rio de Janeiro"
"Bradypus crinitus",2016,"Dataset - Neotropical Xenarthrans","-41.9023","-22.30401","Rio de Janeiro"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.7","-20.5667","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.1603","-19.8768","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.1336","-19.9289","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.1544","-19.6286","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.0887","-19.8706","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.5025","-20.2781","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-41.0078","-20.4131","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.9079","-19.9971","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.9","-19.9986","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-41.4853","-21.1306","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.7417","-20.0625","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.8981","-20.1158","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.6869","-20.0481","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.9333","-20.0831","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.5433","-19.8869","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.6756","-19.9181","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.6122","-19.9233","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.3344","-20.2989","Espírito Santo"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-42.1775","-22.4364","Rio de Janeiro"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-42.0072","-22.3086","Rio de Janeiro"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-41.0378","-21.6036","Rio de Janeiro"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-42.3439","-22.6974","Rio de Janeiro"
"Bradypus crinitus",NA,"Dataset - Neotropical Xenarthrans","-40.23","-19.9623","Espírito Santo"
"Bradypus crinitus",2015,"Dataset - Neotropical Xenarthrans","-42.264223","-22.937543","Rio de Janeiro"
"Bradypus crinitus",2006,"Dataset - Neotropical Xenarthrans","-41.901484","-21.917766","Rio de Janeiro"
"Bradypus crinitus",2007,"Dataset - Neotropical Xenarthrans","-42.734777","-22.337696","Rio de Janeiro"
"Bradypus crinitus",2015,"Dataset - Neotropical Xenarthrans","-42.734777","-22.337696","Rio de Janeiro"
"Bradypus crinitus",2015,"Dataset - Neotropical Xenarthrans","-40.997366","-22.000785","Rio de Janeiro"
